Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry
Dublin City Hall,http://www.dublincityhall.ie,+353(0)12222204,-6.26714916931155,53.3439224313735,Dublin,Dublin City,Republic of Ireland
Kissane Sheep Farm,http://www.adopt-a-sheep.ie,+353(0)646634791,-9.64712132882589,51.9444015592206,Kerry,Kenmare,Republic of Ireland
Blue Raincoat Theatre Company,http://www.blueraincoat.com,+353(0)719170431,-8.477832,54.273555,Sligo,Sligo Town,Republic of Ireland
Sliabh Liag (Slieve League) Cliffs,http://www.sliabhliag.com,+353(0)877850976,-8.68435488811155,54.6277622807034,Donegal,Carrick,Republic of Ireland
Four Masters Memorial,,+353(0)7321148,-8.109871,54.654093,Donegal,Donegal Town,Republic of Ireland
Killarney Racecourse,http://www.killarneyraces.ie,+353(0)646631125,-9.514396,52.048793,Kerry,Killarney,Republic of Ireland
Tramore Racecourse,http://www.tramore-racecourse.com/,+353(0)51381425,-7.14855437567143,52.172153136176,Waterford,Tramore,Republic of Ireland
Huntington Castle and Gardens,http://www.huntingtoncastle.com,+353(0)539377160,-6.64904962698369,52.6903979821351,Carlow,Clonegal,Republic of Ireland
Ballaghmore Castle,http://www.castleballaghmore.com,+353(0)50521453,-7.70710233995055,52.9598909579761,Laois,Borris In Ossory,Republic of Ireland
Charles Fort,http://www.heritageireland.ie/en/south-west/charlesfort/,+353(0)214772263,-8.499112,51.696908,Cork,Kinsale,Republic of Ireland
Cobh Heritage Centre – the Emigration & Maritime Story,http://www.cobhheritage.com,+353(0)214813591,-8.299372,51.848841,Cork,Cobh,Republic of Ireland
Cork City Gaol & Radio Museum Experience,http://www.corkcitygaol.com,+353(0)214305022,-8.49866321957392,51.8987629169569,Cork,Cork City,Republic of Ireland
Dingle Oceanworld Aquarium,http://www.dingle-oceanworld.ie,+353(0)669152111,-10.278434,52.139827,Kerry,Dingle,Republic of Ireland
Ionad an Bhlascaoid Mhóir - The Blasket Centre,http://www.gokerry.ie/blasket-centre/,+353(0)669156444,-10.462391,52.132379,Kerry,Tralee,Republic of Ireland
"Derrynane House, National Historic Park",http://www.derrynanehouse.ie/,+353(0)669475113,-10.110686,51.774546,Kerry,Caherdaniel ,Republic of Ireland
Ross Castle,http://www.heritageireland.ie/en/south-west/rosscastle/,+353(0)646635851,-9.521181,52.046673,Kerry,Killarney,Republic of Ireland
"Muckross House, Gardens & Traditional Farms",http://www.muckross-house.ie,+353(0)646670144,-9.504301,52.018077,Kerry,Killarney,Republic of Ireland
Thoor Ballylee,http://yeatsthoorballylee.org,+353(0)91631436,-8.77505020558828,53.1031531876228,Galway,Gort,Republic of Ireland
Turoe Pet Farm and Leisure Park,http://www.turoepetfarm.com,+353(0)91841580,-8.56178425950725,53.2528122596724,Galway,Bullaun,Republic of Ireland
Rinville Park,http://www.galway.ie/en/services/leisure/rinvilleparkoranmore/,+353(0)91509000,-9.048728,53.276473,Galway,Galway City.,Republic of Ireland
Altamont Gardens,http://www.heritageireland.ie/en/south-east/altamontgardens/,+353(0)599159444,-6.72083739021297,52.7357813084342,Carlow,Tullow,Republic of Ireland
Carlow County Museum,https://carlowcountymuseumblog.wordpress.com/,+353(0)599131554,-6.92818264687537,52.8363752803621,Carlow,College Street,Republic of Ireland
Dunmore Cave,http://www.heritageireland.ie/en/south-east/dunmorecave/,+353(0)567767726,-7.24692094177248,52.7339678688002,Kilkenny,Ballyfoyle,Republic of Ireland
Aran Islands - Inishmaan - Inis Árainn,,+353(0)9961263,-9.71924227867132,53.1371324489486,Galway,Inishmore - Árainn,Republic of Ireland
Jerpoint Abbey,http://www.heritageireland.ie/en/south-east/jerpointabbey/,+353(0)567724623,-7.15791450926212,52.5110785979225,Kilkenny,Thomastown,Republic of Ireland
Kilfane Glen and Waterfall,http://www.kilfane.com,+353(0)567724558,-7.08858084124756,52.5527459399813,Kilkenny,Thomastown,Republic of Ireland
Cashel Folk Village Museum,http://www.cashelfolkvillage.ie,+353(0)6263601,-7.888225,52.517543,Tipperary,Cashel,Republic of Ireland
Celtic Plantarum Dundrum,,+353(0)6271303,-8.04394293957041,52.5576255028435,Tipperary,Dundrum,Republic of Ireland
St Canice's Cathedral and Round Tower,http://www.stcanicescathedral.com,+353(0)567764971,-7.25721573743442,52.6566915104911,Kilkenny,Kilkenny City,Republic of Ireland
Cahir Castle,http://www.heritageireland.ie/en/south-east/cahircastle/,+353(0)527441011,-7.92701688095098,52.37454,Tipperary,Cahir,Republic of Ireland
Dan O’Hara’s Homestead  - Connemara Heritage & History Centre,http://www.connemaraheritage.com,+353(0)9521246,-9.911671,53.479881,Galway,Clifden,Republic of Ireland
Connemara National Park,http://www.connemaranationalpark.ie,+353(0)9541054,-9.944771,53.551335,Galway,Letterfrack,Republic of Ireland
Kylemore Abbey and Victorian Walled Garden,http://www.kylemoreabbey.com,+353(0)9552001,-9.889351,53.561632,Galway,Connemara,Republic of Ireland
Swiss Cottage,http://www.heritageireland.ie/en/south-east/cahircastle/,+353(0)527441144,-7.92353232638925,52.3573056381199,Tipperary,Cahir,Republic of Ireland
Westport House & Grounds,http://www.westporthouse.ie,+353(0)9827766,-9.540006,53.805648,Mayo,Westport,Republic of Ireland
Ballintubber Abbey and The Celtic Furrow,http://www.ballintubberabbey.ie,+353(0)949030934,-9.282828,53.756654,Mayo,Ballintubber,Republic of Ireland
Ballyhack Castle,http://www.heritageireland.ie/en/south-east/ballyhackcastle/,+353(0)51389468,-6.967399,52.24592,Wexford,Ballyhack,Republic of Ireland
Duncannon Fort Tour,http://www.duncannonfort.ie,+353(0)51389530,-6.936401,52.221133,Wexford,Hook Peninsula,Republic of Ireland
Glendeer Open Pet Farm,http://www.glendeerpetfarm.ie,+353(0)906437147,-8.020255,53.397686,Westmeath,Athlone,Republic of Ireland
Irish Agricultural Museum at Johnstown Castle,http://www.irishagrimuseum.ie,+353(0)539184671,-6.50381827116393,52.2922454262557,Wexford,Murntown,Republic of Ireland
The John F. Kennedy Memorial Park,http://www.heritageireland.ie/en/south-east/thejohnfkennedyarboretum/,+353(0)51388171,-6.93342172485347,52.3210174954784,Wexford,New Ross,Republic of Ireland
Doctor Douglas Hyde Interpretive Centre,http://www.roscommoncoco.ie/en/Services/Tourism/Recreation/Douglas_Hyde_Centre/,+353(0)877823751,-8.45164623809819,53.8818392904826,Roscommon,Frenchpark,Republic of Ireland
Carlingford Heritage Centre,http://www.carlingfordheritagecentre.com,+353(0)429373454,-6.18566354232791,54.0391568860987,Louth,Carlingford,Republic of Ireland
Drogheda Museum Millmount,http://www.millmount.net,+353(0)419833097,-6.35025503802876,53.7117853993422,Louth,Drogheda,Republic of Ireland
Donegal County Museum,http://www.facebook.com/Donegalcomuseum/,+353(0)749124613,-7.735013,54.954561,Donegal,Letterkenny,Republic of Ireland
Glencolmcille Folk Village,http://www.glenfolkvillage.com,+353(0)749730017,-8.740572,54.707193,Donegal,Glencolmcille,Republic of Ireland
Fort Dunree Military Museum,http://www.dunree.pro.ie,+353(0)749361817,-7.554006,55.196372,Donegal,Inishowen,Republic of Ireland
Fore Abbey,,+353(0)449661780,-7.21796591528323,53.6752802640906,Westmeath,Fore,Republic of Ireland
Tullynally Castle Gardens,http://www.tullynallycastle.com,+353(0)449661856,-7.32672759259037,53.6832182982051,Westmeath,Castlepollard,Republic of Ireland
Lifford Old Courthouse,http://www.liffordoldcourthouse.com,+353(0)749141733,-7.47863570027107,54.8332281945284,Donegal,Lifford,Republic of Ireland
Mount Usher Gardens,http://www.mountushergardens.ie,+353(0)40440205,-6.10677191491913,53.0090439184929,Wicklow,Ashford,Republic of Ireland
The National Garden Exhibition Centre - Arboretum Kilquade,http://www.arboretum.ie/Arboretum-KIlquade-1020,+353(0)15313488,-6.089633,53.112697,Wicklow,Kilquade,Republic of Ireland
Russborough House  and Parklands,http://russboroughhouse.ie/,+353(0)45865239,-6.56945930422966,53.1416347499787,Wicklow,Blessington,Republic of Ireland
The Workhouse Famine & Heritage Centre,http://www.dunfanaghyworkhouse.ie/,+353(0)749136540,-7.97699344047543,55.1798775143,Donegal,Dunfanaghy,Republic of Ireland
Glebe House and Gallery,http://www.heritageireland.ie/en/north-west/glebehouseandgallery/,+353(0)749137071,-7.687697,54.959735,Donegal,Letterkenny,Republic of Ireland
The Irish National Stud,http://www.irishnationalstud.ie,+353(0)45521617,-6.90149571163942,53.1447107024539,Kildare,Kildare Town,Republic of Ireland
Newmills Corn And Flax Mills,http://www.heritageireland.ie/en/north-west/newmillscornandflaxmills/,+353(0)749125115,-7.808241,54.929074,Donegal,Letterkenny,Republic of Ireland
Sligo Abbey,http://www.heritageireland.ie/en/north-west/sligoabbey/,+353(0)719146406,-8.470736,54.270803,Sligo,Sligo Town,Republic of Ireland
Hyde Bridge Gallery,http://www.yeats-sligo.com/Home,+353(0)719142693,-8.474933,54.272077,Sligo,Sligo Town,Republic of Ireland
Woodville Farm,http://www.facebook.com/woodvillefarm/,+353(0)719162741,-8.51384,54.268695,Sligo,Strandhill,Republic of Ireland
Cavan County Museum,http://www.cavanmuseum.ie,+353(0)498544070,-7.200883,53.866898,Cavan,Ballyjamesduff,Republic of Ireland
Johnstown Castle Estate,http://www.johnstowncastle.ie,+353(0)539184671,-6.504702,52.294018,Wexford,Johnstown,Republic of Ireland
Killruddery House Gardens,http://www.killruddery.com,+353(0)12863405,-6.10225923809821,53.1820324912354,Wicklow,Bray,Republic of Ireland
Bantry House and Garden,http://www.bantryhouse.com,+353(0)2750047,-9.465435,51.677161,Cork,Bantry,Republic of Ireland
Coolcarrigan House,http://www.coolcarrigan.ie,+353(0)45863527,-6.85131906878655,53.3190840383504,Kildare,Naas,Republic of Ireland
Avondale House and Forest Park,http://www.heritageisland.com/attractions/avondale-house-forest-park/,+353(0)40446111,-6.22674316140751,52.9164623564582,Wicklow,Rathdrum,Republic of Ireland
Corlea Trackway Visitor Centre,http://www.heritageireland.ie/en/midlands-eastcoast/corleatrackwayvisitorcentre/,+353(0)433322386,-7.84544131779102,53.6125265096806,Longford,Kenagh,Republic of Ireland
Glendalough Monastic Site and Visitor Centre,http://www.heritageireland.ie/en/midlands-eastcoast/glendaloughvisitorcentre/,+353(0)40445352,-6.32426458035661,53.0105997867961,Wicklow,Glendalough,Republic of Ireland
North Mayo Heritage Centre and Enniscoe Gardens,http://www.enniscoe.com,+353(0)9631809,-9.311125,54.070543,Mayo,Ballina,Republic of Ireland
Monaghan County Museum,http://monaghan.ie/museum/,+353(0)4782928,-6.972623,54.247826,Monaghan,Monaghan Town,Republic of Ireland
The Gallery,,+353(0)749136224,-7.968478,55.183303,Donegal,Dunfanaghy,Republic of Ireland
Curraghmore House,http://www.curraghmorehouse.ie,+353(0)868211917,-7.3593387202377,52.2903792166373,Waterford,Portlaw,Republic of Ireland
Larchill Gardens,http://www.larchill.ie,+353(0)16287354,-6.65881839286805,53.441276236096,Kildare,Kilcock,Republic of Ireland
Michael Gibbons Walking Ireland,http://www.walkingireland.com,+353(0)9521379,-10.021,53.4878,Galway,Clifden,Republic of Ireland
Emo Court House,http://www.heritageireland.ie/en/midlands-eastcoast/emocourt/,+353(0)578626573,-7.19697776455689,53.1071358967639,Laois,Emo,Republic of Ireland
Donegal Castle,http://www.heritageireland.ie/en/north-west/donegalcastle/,+353(0)749722405,-8.11090678042603,54.6544036482745,Donegal,Donegal Town,Republic of Ireland
Tintern Abbey,http://www.heritageireland.ie/en/south-east/tinternabbey/,+353(0)51562650,-6.837961,52.236925,Wexford,New Ross,Republic of Ireland
ACET - Cork Language Centre International,http://acetireland.ie/,+353(0)214551661,-8.467479,51.902273,Cork,Cork City,Republic of Ireland
WELC  -Waterford English Language Centre,http://www.welc.ie,+353(0)51877288,-7.10324884124759,52.251910117235,Waterford,Waterford City,Republic of Ireland
Donegal English Language School,http://www.donegallanguageschool.com,+353(0)719841288,-8.299591,54.47651,Donegal,Bundoran,Republic of Ireland
Bridge Mills Galway Language Centre,http://www.galwaylanguage.com,+353(0)91566468,-9.056524,53.271422,Galway,Galway City,Republic of Ireland
Ionad Cois Locha,http://www.dunleweycentre.com,+353(0)749531699,-8.14289368955155,55.0272798928525,Donegal,Gweedore,Republic of Ireland
Croagh Patrick,http://www.croagh-patrick.com,+353(0)9864114,-9.62933314077529,53.7780695501916,Mayo,Westport,Republic of Ireland
Ards Forest Park,http://www.coillte.ie/site/ards-forest-park/,+353(0)749121139,-7.92107508117022,55.1782179631857,Donegal,Creeslough,Republic of Ireland
Kiltartan Gregory Museum,http://www.gortonline.com/gregorymuseum/,+353(0)91632346,-8.815409,53.099346,Galway,Gort,Republic of Ireland
Town Hall Theatre,http://tht.ie/,+353(0)91569777,-9.054129,53.276094,Galway,Galway City,Republic of Ireland
"The Quiet Man Museum, Tours & Giftshop",http://www.quietmanmuseum.com,+353(0)949546089,-9.288031,53.540846,Mayo,Cong,Republic of Ireland
Knock Shrine,http://www.knock-shrine.ie,+353(0)949388100,-8.91863360321042,53.792642494532,Mayo,Knock,Republic of Ireland
Hazelwood Sculpture Trail Sligo,,,-8.47515,54.2678,Sligo,Sligo Town,Republic of Ireland
Knock Museum,http://www.knock-shrine.ie/,+353(0)949375034,-8.91713850793462,53.792237375033,Mayo,Knock,Republic of Ireland
Colmcille Heritage Centre,http://www.colmcilleheritagecentre.ie/,+353(0)749137306,-7.903567,54.993456,Donegal,Letterkenny,Republic of Ireland
Historic Stroll in Old Kinsale,http://www.historicstrollkinsale.com,+353(0)214772873,-8.52057639741845,51.7026432298443,Cork,Kinsale,Republic of Ireland
Parnell National Memorial Park,http://www.heritageisland.com/attractions/avondale-house-forest-park/,,-6.24547966889964,52.9214511781452,Wicklow,Rathdrum,Republic of Ireland
Corrib Cruises & Corrib Ferries,http://corribcruises.com,+353(0)872830799,-9.28161238141853,53.5385265721061,Mayo,Cong,Republic of Ireland
Arklow Maritime Museum,http://www.arklowmaritimeheritage.ie/,+353(0)864460784,-6.146723,52.799369,Wicklow,Arklow,Republic of Ireland
Glenroe Open Farm,http://www.glenroefarm.ie/,+353(0)12872288,-6.07495456155648,53.09827392643,Wicklow,Kilcoole,Republic of Ireland
Beaulieu House and Gardens,http://beaulieuhouse.ie/,+353(0)419838557,-6.29357936441806,53.7282193367458,Louth,Drogheda,Republic of Ireland
Victor's Way,http://victorsway.eu,+353(0)12818505,-6.219773,53.08605,Wicklow,Roundwood,Republic of Ireland
Michael J Quill Centre,,+353(0)646685511,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland
Donegal Railway Heritage Centre,http://www.countydonegalrailway.com,+353(0)749722655,-8.107782,54.657036,Donegal,Donegal Town,Republic of Ireland
Powerscourt Waterfall,http://powerscourt.com/waterfall,+353(0)12046000,-6.20982599487308,53.1461205406341,Wicklow,Enniskerry,Republic of Ireland
"Taylor's Art Gallery, Picture Framing & Music Centre",http://taylorsartgallery.ie,+353(0)719165138,-8.41270916665644,54.1067377216894,Sligo,Castlebaldwin,Republic of Ireland
Garter Lane Art Gallery,http://www.garterlane.ie,+353(0)51855038,-7.116447,52.262574,Waterford,Waterford City,Republic of Ireland
Waterford County Museum,http://www.waterfordmuseum.ie,+353(0)5845960,-7.61940048710243,52.0886397984962,Waterford,Dungarvan,Republic of Ireland
Museum of Transport,,+353(0)526129727,-7.671449,52.361704,Tipperary,Clonmel,Republic of Ireland
Sean Kelly Sports Centre,http://www.seankellysportscentre.com/,+353(0)51640955,-7.39384192694615,52.3508384286415,Tipperary,Carrick-on-Suir,Republic of Ireland
Carlow Castle,http://carlowtourism.com/carlow-castle-2/,,-6.93592669444274,52.8362654749417,Carlow,Carlow Town,Republic of Ireland
Toy Soldier Factory & Visitor Centre,http://toysoldierfactory.ie,+353(0)2640342,-9.082397,51.900686,Cork,Macroom,Republic of Ireland
Druid Theatre,http://www.druid.ie,+353(0)91568660,-9.053516,53.271049,Galway,Galway City,Republic of Ireland
Gillighan's World - The Field of Dreams,http://www.gillighansworld.ie,+353(0)719130286,-8.67993,54.126333,Sligo,Tubbercurry,Republic of Ireland
Kilgarvan Motor Museum,http://www.kilgarvanmotormuseum.com,+353(0)646685346,-9.434234,51.88772,Kerry,Kilgarvan,Republic of Ireland
Curracloe Blue Flag Beach 2019,http://beachawards.ie/blue-flag/,+353(0)539142211,-6.36730961168245,52.394694331686,Wexford,Curracloe,Republic of Ireland
Nolans Castle,,+353(0)719161201,-9.085891,54.216222,Sligo,Enniscrone,Republic of Ireland
Mayo Leisure Point,http://www.mayoleisurepoint.ie,+353(0)949025473,-9.286144,53.856736,Mayo,Castlebar,Republic of Ireland
Titanic Trail,http://www.titanic.ie,+353(0)214815211,-8.30293076096362,51.8517689943711,Cork,Cobh,Republic of Ireland
Lismore Castle,http://www.lismorecastle.com,+353(0)5854424,-7.93398327514648,52.1404259120228,Waterford,Lismore,Republic of Ireland
Waterford Marina,http://www.waterfordcouncil.ie/departments/roads-parking/marinas.htm,+353(0)872384944,-7.106558,52.259892,Waterford,Waterford City,Republic of Ireland
Tipperary Excel Centre,http://www.tipperary-excel.com,+353(0)6280520,-8.160257,52.475099,Tipperary,Tipperary Town,Republic of Ireland
Sean Treacy Memorial Swimming Pool,,+353(0)6251806,-8.157173,52.474918,Tipperary,Tipperary Town,Republic of Ireland
Greyfriars Municipal Art Gallery,http://waterfordarts.com/2013/03/16/greyfriars-municipal-art-gallery/,+353(0)51849857,-7.106855,52.260599,Waterford,Waterford City,Republic of Ireland
Kilclooney Dolmen,,+353(0)749721148,-8.43687,54.822714,Donegal,Ardara    ,Republic of Ireland
Black Castle,http://carlowtourism.com/black-castle-2/,,-6.9776,52.736059,Carlow,Leighlinbridge,Republic of Ireland
Nore Valley Park Open Farm,http://www.norevalleypark.com/pet-farm/,+353(0)567727229,-7.21387818095468,52.5461046218195,Kilkenny,Bennettsbridge,Republic of Ireland
Pollardstown Fen,http://www.npws.ie/nature-reserves/kildare/pollardstown-fen-nature-reserve,+353(0)45521713,-6.84568203514686,53.183601640081,Kildare,Newbridge,Republic of Ireland
Stephenstown Pond Nature Park & The Dairy Maid Coffee Shop,http://stephenstownpond.com/,+353(0)429379019,-6.458187,53.96425,Louth,Dundalk,Republic of Ireland
Sligo County Museum,,+353(0)719111679,-8.472935,54.272763,Sligo,Sligo,Republic of Ireland
Yeats Society,http://www.yeats-sligo.com,+353(0)719142693,-8.474933,54.272077,Sligo,Sligo Town,Republic of Ireland
Murvagh Blue Flag Beach 2019,,+353(0)749721148,-8.16697026754911,54.616838978425,Donegal,Murvagh,Republic of Ireland
Rossnowlagh Blue Flag Beach 2019,,+353(0)719841350,-8.2071552168644,54.5572408597276,Donegal,Rossnowlagh  ,Republic of Ireland
Adrigole Arts,http://www.hungryhillgallery.com,+353(0)2760234,-9.710114,51.684406,Cork,Adrigole,Republic of Ireland
Cork English College International Language & Activity Holidays,http://www.corkenglishcollege.ie,+353(0)214551522,-8.466683,51.900773,Cork,Cork City,Republic of Ireland
Blasket Island Ferry,http://www.blasketisland.com,+353(0)669156422,-10.4558122416662,52.1330832726897,Kerry,Dunquin,Republic of Ireland
Céide Fields Visitor Centre & Site,http://www.heritageireland.ie/en/west/ceidefields/,+353(0)9643325,-9.457629,54.3071,Mayo,Ballycastle,Republic of Ireland
Glengarriff Bamboo Park,http://www.bamboo-park.com,+353(0)2763007,-9.54973322978185,51.7503379182736,Cork,Glengarriff,Republic of Ireland
Mullingar Arts Centre,http://www.mullingarartscentre.ie,+353(0)449347777,-7.340438,53.523786,Westmeath,Mullingar,Republic of Ireland
Michael Collins Centre,http://www.michaelcollinscentre.com,+353(0)238846107,-8.82146281279995,51.6431137479645,Cork,Clonakilty,Republic of Ireland
The Slaney Language Centre,http://www.slaneylanguage.com,+353(0)539120881,-6.532653,52.344944,Wexford,Wexford Town,Republic of Ireland
Christ Church Cathedral,http://www.christchurchwaterford.com,+353(0)51858958,-7.10754816931148,52.2598624646831,Waterford,Waterford City,Republic of Ireland
The Kennedy Homestead,http://www.kennedyhomestead.ie,+353(0)51388264,-6.9802127705002,52.3458284738069,Wexford,New Ross,Republic of Ireland
Abbey Road Gardens,http://www.waterfordgardentrail.com/gardens/abbeyroadgardens/,+353(0)51851111,-7.102184,52.264196,Waterford,Waterford City,Republic of Ireland
